feed,kill,steps,small_size,large_size,small_patch_radius,large_patch_radius,small_active_fraction,large_active_fraction,active_fraction_delta,small_edge_density,large_edge_density,edge_density_delta,small_peak_v,large_peak_v
0.014,0.051,1400,40,72,5,9,0.0,0.12866512345679013,0.12866512345679013,9.681305718096793e-32,0.009176718588206668,0.009176718588206668,8.404704479374662e-30,0.36206231131290856
0.018,0.051,1400,40,72,5,9,0.0,0.3157793209876543,0.3157793209876543,1.1214213365802036e-32,0.013421776039696878,0.013421776039696878,8.192651450089114e-31,0.34076926710654226
0.022,0.051,1400,40,72,5,9,0.455,0.6165123456790124,0.16151234567901235,0.02463236139202896,0.020485385747138825,-0.004146975644890135,0.3903495885623482,0.3762217485672048
0.026,0.051,1400,40,72,5,9,1.0,1.0,0.0,0.0002232337224933075,0.0009393123562435571,0.0007160786337502495,0.23880162091724283,0.2241369370884506
0.03,0.051,1400,40,72,5,9,1.0,1.0,0.0,1.073386268818019e-07,1.540001784085342e-06,1.43266315720354e-06,0.2507368524431106,0.2507975649601075
0.014,0.054,1400,40,72,5,9,0.0,0.05227623456790124,0.05227623456790124,4.207489874797328e-25,0.008487035230932352,0.008487035230932352,8.664317580374134e-23,0.26682682987183926
0.018,0.054,1400,40,72,5,9,0.358125,0.22453703703703703,-0.133587962962963,0.022867438931170693,0.020164293442335345,-0.0027031454888353477,0.34471417574318974,0.3397210228222544
0.022,0.054,1400,40,72,5,9,0.315625,0.4035493827160494,0.08792438271604941,0.01614642146947823,0.024150540707087737,0.008004119237609505,0.29016152830256947,0.530632324505619
0.026,0.054,1400,40,72,5,9,0.5925,0.6099537037037037,0.017453703703703694,0.025354062041020323,0.021620391084245676,-0.003733670956774647,0.3683206030782389,0.30976172935309393
0.03,0.054,1400,40,72,5,9,0.0,1.0,1.0,0.0017696088773679986,0.0005752703346090165,-0.001194338542758982,0.14678598866425913,0.22396061037728407
0.014,0.057,1400,40,72,5,9,0.0,0.0,0.0,2.0617772363262347e-43,3.8120636953132866e-36,3.812063489135563e-36,3.005186351146092e-41,2.830230864551517e-34
0.018,0.057,1400,40,72,5,9,0.0,0.1263503086419753,0.1263503086419753,4.267676884587427e-13,0.013202072150700598,0.01320207215027383,2.2754451207635895e-11,0.332509740658907
0.022,0.057,1400,40,72,5,9,0.344375,0.30246913580246915,-0.04190586419753084,0.028714004367596906,0.02178900511641384,-0.006924999251183065,0.3426749411581199,0.35553988752799515
0.026,0.057,1400,40,72,5,9,0.36125,0.4494598765432099,0.08820987654320989,0.025183896257982764,0.02449508177911279,-0.0006888144788699743,0.3113084144575691,0.32257444137590086
0.03,0.057,1400,40,72,5,9,0.5925,0.5773533950617284,-0.01514660493827158,0.025330588241847002,0.023247821049070656,-0.0020827671927763462,0.3251352156719906,0.3166137701213343
0.014,0.06,1400,40,72,5,9,0.0,0.0,0.0,3.668416470572197e-47,4.987665426923761e-47,1.319248956351564e-47,4.844256064444196e-45,3.822207518443805e-45
0.018,0.06,1400,40,72,5,9,0.0,0.0,0.0,1.169946687292456e-48,1.2057658309310809e-47,1.0887711622018353e-47,1.4913058504867072e-46,9.17122656259527e-46
0.022,0.06,1400,40,72,5,9,0.203125,0.10146604938271606,-0.10165895061728394,0.021507004282725325,0.008682673331483585,-0.01282433095124174,0.33145063948499304,0.3089432776733898
0.026,0.06,1400,40,72,5,9,0.229375,0.2185570987654321,-0.010817901234567884,0.022699070023499787,0.018472444556017414,-0.0042266254674823735,0.3324772861367943,0.35265755107746743
0.03,0.06,1400,40,72,5,9,0.368125,0.3140432098765432,-0.05408179012345676,0.02828429368735281,0.02129036933009282,-0.0069939243572599875,0.3585511389866276,0.3666502194151323
0.014,0.063,1400,40,72,5,9,0.0,0.0,0.0,7.73634882181628e-50,9.749979641044757e-50,2.0136308192284778e-50,9.93175814621695e-48,7.470332508114637e-48
0.018,0.063,1400,40,72,5,9,0.0,0.0,0.0,6.040159053971776e-52,7.195401980288827e-52,1.1552429263170513e-52,7.560551328040359e-50,5.509583131190592e-50
0.022,0.063,1400,40,72,5,9,0.0,0.0,0.0,6.869436643052256e-54,9.186834173300192e-54,2.317397530247936e-54,8.329258662199706e-52,7.025753987242024e-52
0.026,0.063,1400,40,72,5,9,0.0,0.03761574074074074,0.03761574074074074,1.8997146837423753e-55,0.004111463764170898,0.004111463764170898,2.1960536868449075e-53,0.3362021822793432
0.03,0.063,1400,40,72,5,9,0.21,0.10108024691358025,-0.10891975308641974,0.020922574264895424,0.009617670052200149,-0.011304904212695276,0.3521522994061797,0.36139940831954714
