feed,kill,short_steps,long_steps,short_active_fraction,long_active_fraction,active_fraction_delta,short_edge_density,long_edge_density,edge_density_delta,short_peak_v,long_peak_v
0.014,0.051,700,1400,0.0,0.0,0.0,1.1255564728289706e-10,9.681305718096793e-32,-1.1255564728289706e-10,4.314238501304908e-09,8.404704479374662e-30
0.018,0.051,700,1400,0.0,0.0,0.0,2.653005502221766e-10,1.1214213365802036e-32,-2.653005502221766e-10,1.0715374877938918e-08,8.192651450089114e-31
0.022,0.051,700,1400,0.13375,0.455,0.32125000000000004,0.0076709499700358084,0.02463236139202896,0.01696141142199315,0.20404284407667544,0.3903495885623482
0.026,0.051,700,1400,1.0,1.0,0.0,0.00033890421906489373,0.0002232337224933075,-0.00011567049657158621,0.21335472055905108,0.23880162091724283
0.03,0.051,700,1400,1.0,1.0,0.0,2.838515445720261e-05,1.073386268818019e-07,-2.8277815830320808e-05,0.25010885288351703,0.2507368524431106
0.014,0.054,700,1400,0.02875,0.0,-0.02875,0.009629835511753298,4.207489874797328e-25,-0.009629835511753298,0.17812975189049868,8.664317580374134e-23
0.018,0.054,700,1400,0.293125,0.358125,0.065,0.020194861749035408,0.022867438931170693,0.002672577182135285,0.2790235261309472,0.34471417574318974
0.022,0.054,700,1400,0.40125,0.315625,-0.085625,0.020362783239005706,0.01614642146947823,-0.004216361769527475,0.30474417996900677,0.29016152830256947
0.026,0.054,700,1400,0.634375,0.5925,-0.041874999999999996,0.0191084280618337,0.025354062041020323,0.006245633979186621,0.26536522279187097,0.3683206030782389
0.03,0.054,700,1400,0.9975,0.0,-0.9975,0.0028807063915098855,0.0017696088773679986,-0.001111097514141887,0.24751636380663797,0.14678598866425913
0.014,0.057,700,1400,0.0,0.0,0.0,2.2442674555258545e-20,2.0617772363262347e-43,-2.2442674555258545e-20,1.1393184389294875e-18,3.005186351146092e-41
0.018,0.057,700,1400,0.155,0.0,-0.155,0.018610315437184596,4.267676884587427e-13,-0.01861031543675783,0.32480816719112626,2.2754451207635895e-11
0.022,0.057,700,1400,0.269375,0.344375,0.07500000000000001,0.02534212172321195,0.028714004367596906,0.0033718826443849548,0.3341731279825244,0.3426749411581199
0.026,0.057,700,1400,0.44625,0.36125,-0.08499999999999996,0.025287796787836197,0.025183896257982764,-0.00010390052985343248,0.3232758606138871,0.3113084144575691
0.03,0.057,700,1400,0.54625,0.5925,0.04625000000000001,0.026600186136375242,0.025330588241847002,-0.0012695978945282405,0.3680051521320713,0.3251352156719906
0.014,0.06,700,1400,0.0,0.0,0.0,3.8402441299849034e-23,3.668416470572197e-47,-3.8402441299849034e-23,1.8794511655314692e-21,4.844256064444196e-45
0.018,0.06,700,1400,0.0,0.0,0.0,2.5534326086962435e-23,1.169946687292456e-48,-2.5534326086962435e-23,1.2241296757240416e-21,1.4913058504867072e-46
0.022,0.06,700,1400,0.20375,0.203125,-0.0006249999999999867,0.01910590591186984,0.021507004282725325,0.002401098370855486,0.35763587898929267,0.33145063948499304
0.026,0.06,700,1400,0.2525,0.229375,-0.023125000000000007,0.022114486844257427,0.022699070023499787,0.0005845831792423602,0.34330868495999056,0.3324772861367943
0.03,0.06,700,1400,0.38375,0.368125,-0.015625,0.024382249544635637,0.02828429368735281,0.0039020441427171718,0.3543274697590598,0.3585511389866276
0.014,0.063,700,1400,0.0,0.0,0.0,7.88735884121496e-25,7.73634882181628e-50,-7.88735884121496e-25,3.8116684201208215e-23,9.93175814621695e-48
0.018,0.063,700,1400,0.0,0.0,0.0,1.2960597823338118e-25,6.040159053971776e-52,-1.2960597823338118e-25,6.177089788124909e-24,7.560551328040359e-50
0.022,0.063,700,1400,0.0,0.0,0.0,3.143967924127313e-26,6.869436643052256e-54,-3.143967924127313e-26,1.4743719951997832e-24,8.329258662199706e-52
0.026,0.063,700,1400,0.0,0.0,0.0,1.8799083753586458e-26,1.8997146837423753e-55,-1.8799083753586458e-26,8.625415742450947e-25,2.1960536868449075e-53
0.03,0.063,700,1400,0.14625,0.21,0.06375,0.013891426949193297,0.020922574264895424,0.007031147315702127,0.38899991283511887,0.3521522994061797
