feed,kill,steps,size,patch_radius,profiles,active_span,edge_span,active_winner_profile,active_loser_profile,center_active_fraction,double_active_fraction,ring_active_fraction,center_edge_density,double_edge_density,ring_edge_density,center_peak_v,double_peak_v,ring_peak_v
0.014,0.051,1400,40,5,"center,double,ring",0.0,1.3058910864897834e-19,center,center,0.0,0.0,0.0,9.681305718096793e-32,3.8386944513377326e-25,1.3058910864907514e-19,8.404704479374662e-30,1.0833180770852331e-22,1.4661220356812175e-17
0.018,0.051,1400,40,5,"center,double,ring",0.0,2.5541248505435136e-20,center,center,0.0,0.0,0.0,1.1214213365802036e-32,3.3708431993354855e-23,2.5541248505446352e-20,8.192651450089114e-31,2.263042192303078e-21,3.247552152351889e-18
0.022,0.051,1400,40,5,"center,double,ring",0.20249999999999996,0.014298642078987372,ring,double,0.455,0.3975,0.6,0.02463236139202896,0.010333719313041587,0.022908086198793868,0.3903495885623482,0.2479539052753833,0.3970589276457217
0.026,0.051,1400,40,5,"center,double,ring",0.985625,0.003598261522454961,center,double,1.0,0.014375,1.0,0.0002232337224933075,0.003672200222470988,7.39387000160267e-05,0.23880162091724283,0.2566029473062406,0.18189802906565467
0.03,0.051,1400,40,5,"center,double,ring",0.0,9.173114922572667e-08,center,center,1.0,1.0,1.0,1.073386268818019e-07,1.6560390801324126e-07,7.387275878751459e-08,0.2507368524431106,0.2507274087817942,0.2507085814763345
0.014,0.054,1400,40,5,"center,double,ring",0.11125,0.01376370260322991,ring,center,0.0,0.0,0.11125,4.207489874797328e-25,7.902266701675618e-41,0.01376370260322991,8.664317580374134e-23,3.705513293226734e-38,0.43808401041591405
0.018,0.054,1400,40,5,"center,double,ring",0.16125000000000003,0.005670073007443429,center,double,0.358125,0.196875,0.2225,0.022867438931170693,0.01838207814551305,0.017197365923727264,0.34471417574318974,0.35397092528117774,0.3567722971742882
0.022,0.054,1400,40,5,"center,double,ring",0.16375,0.01200933127569586,ring,center,0.315625,0.4025,0.479375,0.01614642146947823,0.028155752745174092,0.01991506528026267,0.29016152830256947,0.4327464764357682,0.3338283588736436
0.026,0.054,1400,40,5,"center,double,ring",0.645625,0.02535406204077318,ring,double,0.5925,0.0,0.645625,0.025354062041020323,2.4714403759401344e-13,0.02424121717832122,0.3683206030782389,1.2827429760703213e-11,0.3880101487512311
0.03,0.054,1400,40,5,"center,double,ring",1.0,0.012167578856355403,double,center,0.0,1.0,0.194375,0.0017696088773679986,0.0005914838282462751,0.012759062684601679,0.14678598866425913,0.23453840817069632,0.4114294485897661
