feed,kill,stability_class,agreement_count,majority_tag,late_active_fraction_span,total_active_delta_span,center_tag,double_tag,ring_tag,center_late_active_fraction,double_late_active_fraction,ring_late_active_fraction,center_total_active_delta,double_total_active_delta,ring_total_active_delta,reversing_profiles
0.014,0.051,single-flip,2,settled,0.0,0.27625,settled,settled,fading,0.0,0.0,0.0,0.0,0.0,-0.27625,
0.018,0.051,single-flip,2,fading,0.0,0.45125,settled,fading,fading,0.0,0.0,0.0,0.0,-0.226875,-0.45125,
0.022,0.051,three-way-split,1,,0.308125,0.13125,reversing,growing,settled,0.280625,0.44625,0.58875,0.146875,0.04312499999999997,0.015625,center
0.026,0.051,single-flip,2,fading,1.0,1.0,fading,reversing,fading,0.0,1.0,0.0,-1.0,0.0,-1.0,double
0.03,0.051,stable,3,settled,0.0,0.0,settled,settled,settled,1.0,1.0,1.0,0.0,0.0,0.0,
0.014,0.054,single-flip,2,settled,0.128125,0.12875000000000003,settled,settled,reversing,0.0,0.0,0.128125,-0.02875,0.0,-0.12875000000000003,ring
0.018,0.054,single-flip,2,growing,0.2675,0.35625000000000007,fading,growing,growing,0.0,0.209375,0.2675,-0.293125,0.06312500000000001,0.06062500000000001,
0.022,0.054,single-flip,2,growing,0.12125000000000002,0.1825,growing,growing,fading,0.455,0.429375,0.33375,0.05375000000000002,0.09187499999999998,-0.09062500000000001,
0.026,0.054,single-flip,2,settled,0.628125,0.599375,settled,fading,settled,0.628125,0.0,0.6075,-0.006249999999999978,-0.605625,-0.04499999999999993,
0.03,0.054,single-flip,2,fading,0.526875,0.5375000000000001,fading,fading,reversing,0.0,0.0,0.526875,-0.9975,-0.995,-0.45999999999999996,ring
0.014,0.057,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.018,0.057,single-flip,2,fading,0.0,0.188125,fading,settled,fading,0.0,0.0,0.0,-0.155,0.0,-0.188125,
0.022,0.057,single-flip,2,growing,0.05249999999999999,0.106875,growing,growing,settled,0.331875,0.3125,0.279375,0.0625,0.060624999999999984,-0.044375,
0.026,0.057,single-flip,2,reversing,0.05687500000000001,0.02937500000000004,reversing,settled,reversing,0.445,0.41125,0.388125,-0.0012499999999999734,-0.030625000000000013,-0.030625000000000013,"center,ring"
0.03,0.057,single-flip,2,settled,0.012500000000000067,0.09312500000000001,settled,settled,growing,0.591875,0.579375,0.588125,0.04562500000000003,-0.021874999999999978,0.07125000000000004,
0.014,0.06,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.018,0.06,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.022,0.06,single-flip,2,settled,0.0,0.20375,fading,settled,settled,0.0,0.0,0.0,-0.20375,0.0,0.0,
0.026,0.06,single-flip,2,growing,0.320625,0.361875,growing,fading,growing,0.303125,0.0,0.320625,0.050624999999999976,-0.26,0.101875,
0.03,0.06,single-flip,2,growing,0.026249999999999996,0.09187499999999998,settled,growing,growing,0.38125,0.4075,0.3825,-0.0025000000000000022,0.08937499999999998,0.05062500000000003,
0.014,0.063,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.018,0.063,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.022,0.063,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.026,0.063,stable,3,settled,0.0,0.0,settled,settled,settled,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,0.063,single-flip,2,settled,0.27625,0.13,growing,settled,settled,0.27625,0.0,0.0,0.13,0.0,0.0,
